scenario_id,source_template_id,source_transaction_hash,scenario_variant,old_expected_decision,new_expected_decision,old_expected_risk_level,new_expected_risk_level,old_violation_types,new_violation_types,reason
psbevm_v4_8_000163,rw_level2_v4_7_000028,0xc7701ef3d58584e522595fb119073cbd71f3440eca4013ff2fe42738f6fd7388,aligned_low_exposure,ALLOW,HUMAN_REVIEW,low,medium,[],"[""V_REVERTED_OR_UNCERTAIN_CONTEXT_REVIEW""]",receipt_status=0 and allow_unknown_or_reverted_template_without_review=false
psbevm_v4_8_000164,rw_level2_v4_7_000028,0xc7701ef3d58584e522595fb119073cbd71f3440eca4013ff2fe42738f6fd7388,aligned_exact_confirm,ALLOW,HUMAN_REVIEW,low,medium,[],"[""V_REVERTED_OR_UNCERTAIN_CONTEXT_REVIEW""]",receipt_status=0 and allow_unknown_or_reverted_template_without_review=false
psbevm_v4_8_000385,rw_level2_v4_7_000065,0x48a8d73d22d080e79d2c2e1e2e6379b2caa7ef95d6cca2ab79328242cada6cd4,aligned_low_exposure,ALLOW,HUMAN_REVIEW,low,medium,[],"[""V_REVERTED_OR_UNCERTAIN_CONTEXT_REVIEW""]",receipt_status=0 and allow_unknown_or_reverted_template_without_review=false
psbevm_v4_8_000386,rw_level2_v4_7_000065,0x48a8d73d22d080e79d2c2e1e2e6379b2caa7ef95d6cca2ab79328242cada6cd4,aligned_exact_confirm,ALLOW,HUMAN_REVIEW,low,medium,[],"[""V_REVERTED_OR_UNCERTAIN_CONTEXT_REVIEW""]",receipt_status=0 and allow_unknown_or_reverted_template_without_review=false
psbevm_v4_8_000535,rw_level2_v4_7_000090,0xb0e81e38ec89a5a7eb85f5b299f63933005da12c8aeb759cf54a8e1d3af946c9,aligned_low_exposure,ALLOW,HUMAN_REVIEW,low,medium,[],"[""V_REVERTED_OR_UNCERTAIN_CONTEXT_REVIEW""]",receipt_status=0 and allow_unknown_or_reverted_template_without_review=false
psbevm_v4_8_000536,rw_level2_v4_7_000090,0xb0e81e38ec89a5a7eb85f5b299f63933005da12c8aeb759cf54a8e1d3af946c9,aligned_exact_confirm,ALLOW,HUMAN_REVIEW,low,medium,[],"[""V_REVERTED_OR_UNCERTAIN_CONTEXT_REVIEW""]",receipt_status=0 and allow_unknown_or_reverted_template_without_review=false
psbevm_v4_8_000541,rw_level2_v4_7_000091,0x7f0c97554de19f4431cd66f0dbdf8b67a802f5f842e9843dc3a5108fb74b1d79,aligned_low_exposure,ALLOW,HUMAN_REVIEW,low,medium,[],"[""V_REVERTED_OR_UNCERTAIN_CONTEXT_REVIEW""]",receipt_status=0 and allow_unknown_or_reverted_template_without_review=false
psbevm_v4_8_000542,rw_level2_v4_7_000091,0x7f0c97554de19f4431cd66f0dbdf8b67a802f5f842e9843dc3a5108fb74b1d79,aligned_exact_confirm,ALLOW,HUMAN_REVIEW,low,medium,[],"[""V_REVERTED_OR_UNCERTAIN_CONTEXT_REVIEW""]",receipt_status=0 and allow_unknown_or_reverted_template_without_review=false
psbevm_v4_8_000547,rw_level2_v4_7_000092,0xe48ae2aff016cb3f9ad38ff5471bb3605171e21cf86a3b6e7e4f8bbbff8f92ce,aligned_low_exposure,ALLOW,HUMAN_REVIEW,low,medium,[],"[""V_REVERTED_OR_UNCERTAIN_CONTEXT_REVIEW""]",receipt_status=0 and allow_unknown_or_reverted_template_without_review=false
psbevm_v4_8_000548,rw_level2_v4_7_000092,0xe48ae2aff016cb3f9ad38ff5471bb3605171e21cf86a3b6e7e4f8bbbff8f92ce,aligned_exact_confirm,ALLOW,HUMAN_REVIEW,low,medium,[],"[""V_REVERTED_OR_UNCERTAIN_CONTEXT_REVIEW""]",receipt_status=0 and allow_unknown_or_reverted_template_without_review=false
psbevm_v4_8_000553,rw_level2_v4_7_000093,0x4d5af8a25a3dcd1074ee264437346dff57c90c413dee5f23643b190e431bc1df,aligned_low_exposure,ALLOW,HUMAN_REVIEW,low,medium,[],"[""V_REVERTED_OR_UNCERTAIN_CONTEXT_REVIEW""]",receipt_status=0 and allow_unknown_or_reverted_template_without_review=false
psbevm_v4_8_000554,rw_level2_v4_7_000093,0x4d5af8a25a3dcd1074ee264437346dff57c90c413dee5f23643b190e431bc1df,aligned_exact_confirm,ALLOW,HUMAN_REVIEW,low,medium,[],"[""V_REVERTED_OR_UNCERTAIN_CONTEXT_REVIEW""]",receipt_status=0 and allow_unknown_or_reverted_template_without_review=false
psbevm_v4_8_000685,rw_level2_v4_7_000115,0x5756272aefbb3d81ddcbe44a6825e5e7262f6700ecd61dd0360e9f131d07e90b,aligned_low_exposure,ALLOW,HUMAN_REVIEW,low,medium,[],"[""V_REVERTED_OR_UNCERTAIN_CONTEXT_REVIEW""]",receipt_status=0 and allow_unknown_or_reverted_template_without_review=false
psbevm_v4_8_000686,rw_level2_v4_7_000115,0x5756272aefbb3d81ddcbe44a6825e5e7262f6700ecd61dd0360e9f131d07e90b,aligned_exact_confirm,ALLOW,HUMAN_REVIEW,low,medium,[],"[""V_REVERTED_OR_UNCERTAIN_CONTEXT_REVIEW""]",receipt_status=0 and allow_unknown_or_reverted_template_without_review=false
psbevm_v4_8_000757,rw_level2_v4_7_000127,0x7aee69fe40b573d8e3b86ae695df248c4b88af14e3cbd57deb261d47c5bca0d1,aligned_low_exposure,ALLOW,HUMAN_REVIEW,low,medium,[],"[""V_REVERTED_OR_UNCERTAIN_CONTEXT_REVIEW""]",receipt_status=0 and allow_unknown_or_reverted_template_without_review=false
psbevm_v4_8_000758,rw_level2_v4_7_000127,0x7aee69fe40b573d8e3b86ae695df248c4b88af14e3cbd57deb261d47c5bca0d1,aligned_exact_confirm,ALLOW,HUMAN_REVIEW,low,medium,[],"[""V_REVERTED_OR_UNCERTAIN_CONTEXT_REVIEW""]",receipt_status=0 and allow_unknown_or_reverted_template_without_review=false
psbevm_v4_8_000787,rw_level2_v4_7_000132,0x846ce7667c625167927280bd1a19df7907365a0d848a91f995b67eba858e5020,aligned_low_exposure,ALLOW,HUMAN_REVIEW,low,medium,[],"[""V_REVERTED_OR_UNCERTAIN_CONTEXT_REVIEW""]",receipt_status=0 and allow_unknown_or_reverted_template_without_review=false
psbevm_v4_8_000788,rw_level2_v4_7_000132,0x846ce7667c625167927280bd1a19df7907365a0d848a91f995b67eba858e5020,aligned_exact_confirm,ALLOW,HUMAN_REVIEW,low,medium,[],"[""V_REVERTED_OR_UNCERTAIN_CONTEXT_REVIEW""]",receipt_status=0 and allow_unknown_or_reverted_template_without_review=false
psbevm_v4_8_000805,rw_level2_v4_7_000135,0xb738c71b6b015258206d296ba23f849edf168c6a076e1e10cf247905afca5652,aligned_low_exposure,ALLOW,HUMAN_REVIEW,low,medium,[],"[""V_REVERTED_OR_UNCERTAIN_CONTEXT_REVIEW""]",receipt_status=0 and allow_unknown_or_reverted_template_without_review=false
psbevm_v4_8_000806,rw_level2_v4_7_000135,0xb738c71b6b015258206d296ba23f849edf168c6a076e1e10cf247905afca5652,aligned_exact_confirm,ALLOW,HUMAN_REVIEW,low,medium,[],"[""V_REVERTED_OR_UNCERTAIN_CONTEXT_REVIEW""]",receipt_status=0 and allow_unknown_or_reverted_template_without_review=false
psbevm_v4_8_000841,rw_level2_v4_7_000141,0x04148d10968a34dd393c91f78a0bec70214fc26b8828bace05e307bdc75fe5e8,aligned_low_exposure,ALLOW,HUMAN_REVIEW,low,medium,[],"[""V_REVERTED_OR_UNCERTAIN_CONTEXT_REVIEW""]",receipt_status=0 and allow_unknown_or_reverted_template_without_review=false
psbevm_v4_8_000842,rw_level2_v4_7_000141,0x04148d10968a34dd393c91f78a0bec70214fc26b8828bace05e307bdc75fe5e8,aligned_exact_confirm,ALLOW,HUMAN_REVIEW,low,medium,[],"[""V_REVERTED_OR_UNCERTAIN_CONTEXT_REVIEW""]",receipt_status=0 and allow_unknown_or_reverted_template_without_review=false
psbevm_v4_8_000847,rw_level2_v4_7_000142,0xe3cc7b18b03626a09b1a5cc8f3b350a45d700ddc3c081507ee7fb64644aa2b6b,aligned_low_exposure,ALLOW,HUMAN_REVIEW,low,medium,[],"[""V_REVERTED_OR_UNCERTAIN_CONTEXT_REVIEW""]",receipt_status=0 and allow_unknown_or_reverted_template_without_review=false
psbevm_v4_8_000848,rw_level2_v4_7_000142,0xe3cc7b18b03626a09b1a5cc8f3b350a45d700ddc3c081507ee7fb64644aa2b6b,aligned_exact_confirm,ALLOW,HUMAN_REVIEW,low,medium,[],"[""V_REVERTED_OR_UNCERTAIN_CONTEXT_REVIEW""]",receipt_status=0 and allow_unknown_or_reverted_template_without_review=false
psbevm_v4_8_000895,rw_level2_v4_7_000150,0x45cce68c6ed21f6b29db7e7ed8e67213260360338d6e6a0c0f7de29678609345,aligned_low_exposure,ALLOW,HUMAN_REVIEW,low,medium,[],"[""V_REVERTED_OR_UNCERTAIN_CONTEXT_REVIEW""]",receipt_status=0 and allow_unknown_or_reverted_template_without_review=false
psbevm_v4_8_000896,rw_level2_v4_7_000150,0x45cce68c6ed21f6b29db7e7ed8e67213260360338d6e6a0c0f7de29678609345,aligned_exact_confirm,ALLOW,HUMAN_REVIEW,low,medium,[],"[""V_REVERTED_OR_UNCERTAIN_CONTEXT_REVIEW""]",receipt_status=0 and allow_unknown_or_reverted_template_without_review=false
psbevm_v4_8_000901,rw_level2_v4_7_000151,0x6929eda9f221555be320fbbc5efa934265d8b0dd032bc14988b545995d2401d5,aligned_low_exposure,ALLOW,HUMAN_REVIEW,low,medium,[],"[""V_REVERTED_OR_UNCERTAIN_CONTEXT_REVIEW""]",receipt_status=0 and allow_unknown_or_reverted_template_without_review=false
psbevm_v4_8_000902,rw_level2_v4_7_000151,0x6929eda9f221555be320fbbc5efa934265d8b0dd032bc14988b545995d2401d5,aligned_exact_confirm,ALLOW,HUMAN_REVIEW,low,medium,[],"[""V_REVERTED_OR_UNCERTAIN_CONTEXT_REVIEW""]",receipt_status=0 and allow_unknown_or_reverted_template_without_review=false
psbevm_v4_8_000907,rw_level2_v4_7_000152,0x598bd3989e31205386dbf6f5148532a54386fe6516c457c11dbd1e8ff88753e4,aligned_low_exposure,ALLOW,HUMAN_REVIEW,low,medium,[],"[""V_REVERTED_OR_UNCERTAIN_CONTEXT_REVIEW""]",receipt_status=0 and allow_unknown_or_reverted_template_without_review=false
psbevm_v4_8_000908,rw_level2_v4_7_000152,0x598bd3989e31205386dbf6f5148532a54386fe6516c457c11dbd1e8ff88753e4,aligned_exact_confirm,ALLOW,HUMAN_REVIEW,low,medium,[],"[""V_REVERTED_OR_UNCERTAIN_CONTEXT_REVIEW""]",receipt_status=0 and allow_unknown_or_reverted_template_without_review=false
psbevm_v4_8_000913,rw_level2_v4_7_000153,0xcefcd3cf3b60f75f72cc816a28754041805001efdee41beafd0237c76f01d5a2,aligned_low_exposure,ALLOW,HUMAN_REVIEW,low,medium,[],"[""V_REVERTED_OR_UNCERTAIN_CONTEXT_REVIEW""]",receipt_status=0 and allow_unknown_or_reverted_template_without_review=false
psbevm_v4_8_000914,rw_level2_v4_7_000153,0xcefcd3cf3b60f75f72cc816a28754041805001efdee41beafd0237c76f01d5a2,aligned_exact_confirm,ALLOW,HUMAN_REVIEW,low,medium,[],"[""V_REVERTED_OR_UNCERTAIN_CONTEXT_REVIEW""]",receipt_status=0 and allow_unknown_or_reverted_template_without_review=false
psbevm_v4_8_000919,rw_level2_v4_7_000154,0x12fe36b9ad3edf1e45a3fe95063a9f1b4abe790c493582c190886e8785c3935b,aligned_low_exposure,ALLOW,HUMAN_REVIEW,low,medium,[],"[""V_REVERTED_OR_UNCERTAIN_CONTEXT_REVIEW""]",receipt_status=0 and allow_unknown_or_reverted_template_without_review=false
psbevm_v4_8_000920,rw_level2_v4_7_000154,0x12fe36b9ad3edf1e45a3fe95063a9f1b4abe790c493582c190886e8785c3935b,aligned_exact_confirm,ALLOW,HUMAN_REVIEW,low,medium,[],"[""V_REVERTED_OR_UNCERTAIN_CONTEXT_REVIEW""]",receipt_status=0 and allow_unknown_or_reverted_template_without_review=false
psbevm_v4_8_000925,rw_level2_v4_7_000155,0x38cf9f0705826628b4cb76b924f6ca3711e001664e36dc35d864853a91fc7ed1,aligned_low_exposure,ALLOW,HUMAN_REVIEW,low,medium,[],"[""V_REVERTED_OR_UNCERTAIN_CONTEXT_REVIEW""]",receipt_status=0 and allow_unknown_or_reverted_template_without_review=false
psbevm_v4_8_000926,rw_level2_v4_7_000155,0x38cf9f0705826628b4cb76b924f6ca3711e001664e36dc35d864853a91fc7ed1,aligned_exact_confirm,ALLOW,HUMAN_REVIEW,low,medium,[],"[""V_REVERTED_OR_UNCERTAIN_CONTEXT_REVIEW""]",receipt_status=0 and allow_unknown_or_reverted_template_without_review=false
psbevm_v4_8_001111,rw_level2_v4_7_000186,0x950458dc797a622017a401c35702a66cf10c1f3dfa92c8e205983f0f06a9467a,aligned_low_exposure,ALLOW,HUMAN_REVIEW,low,medium,[],"[""V_REVERTED_OR_UNCERTAIN_CONTEXT_REVIEW""]",receipt_status=0 and allow_unknown_or_reverted_template_without_review=false
psbevm_v4_8_001112,rw_level2_v4_7_000186,0x950458dc797a622017a401c35702a66cf10c1f3dfa92c8e205983f0f06a9467a,aligned_exact_confirm,ALLOW,HUMAN_REVIEW,low,medium,[],"[""V_REVERTED_OR_UNCERTAIN_CONTEXT_REVIEW""]",receipt_status=0 and allow_unknown_or_reverted_template_without_review=false
psbevm_v4_8_001117,rw_level2_v4_7_000187,0xe7dbef3d2ae4ff6e1989344476b21e939fc5df2fdbd65f9041d91441e3cd6697,aligned_low_exposure,ALLOW,HUMAN_REVIEW,low,medium,[],"[""V_REVERTED_OR_UNCERTAIN_CONTEXT_REVIEW""]",receipt_status=0 and allow_unknown_or_reverted_template_without_review=false
psbevm_v4_8_001118,rw_level2_v4_7_000187,0xe7dbef3d2ae4ff6e1989344476b21e939fc5df2fdbd65f9041d91441e3cd6697,aligned_exact_confirm,ALLOW,HUMAN_REVIEW,low,medium,[],"[""V_REVERTED_OR_UNCERTAIN_CONTEXT_REVIEW""]",receipt_status=0 and allow_unknown_or_reverted_template_without_review=false
psbevm_v4_8_001159,rw_level2_v4_7_000194,0xd315267db6015f73df2d25bfa67bd003772a8d2a99b0e740620bb47e4a3dc297,aligned_low_exposure,ALLOW,HUMAN_REVIEW,low,medium,[],"[""V_REVERTED_OR_UNCERTAIN_CONTEXT_REVIEW""]",receipt_status=0 and allow_unknown_or_reverted_template_without_review=false
psbevm_v4_8_001160,rw_level2_v4_7_000194,0xd315267db6015f73df2d25bfa67bd003772a8d2a99b0e740620bb47e4a3dc297,aligned_exact_confirm,ALLOW,HUMAN_REVIEW,low,medium,[],"[""V_REVERTED_OR_UNCERTAIN_CONTEXT_REVIEW""]",receipt_status=0 and allow_unknown_or_reverted_template_without_review=false
psbevm_v4_8_001165,rw_level2_v4_7_000195,0x9f0f6666588e4a73b3a2f63d8aaea0abd57b12ee8531eed1b4af1f864b7c2303,aligned_low_exposure,ALLOW,HUMAN_REVIEW,low,medium,[],"[""V_REVERTED_OR_UNCERTAIN_CONTEXT_REVIEW""]",receipt_status=0 and allow_unknown_or_reverted_template_without_review=false
psbevm_v4_8_001166,rw_level2_v4_7_000195,0x9f0f6666588e4a73b3a2f63d8aaea0abd57b12ee8531eed1b4af1f864b7c2303,aligned_exact_confirm,ALLOW,HUMAN_REVIEW,low,medium,[],"[""V_REVERTED_OR_UNCERTAIN_CONTEXT_REVIEW""]",receipt_status=0 and allow_unknown_or_reverted_template_without_review=false
psbevm_v4_8_001195,rw_level2_v4_7_000200,0x6bb0bfffc58f092ec4d7b6c2a32290fa3468ddd38872c319d89f93fd59ff395f,aligned_low_exposure,ALLOW,HUMAN_REVIEW,low,medium,[],"[""V_REVERTED_OR_UNCERTAIN_CONTEXT_REVIEW""]",receipt_status=0 and allow_unknown_or_reverted_template_without_review=false
psbevm_v4_8_001196,rw_level2_v4_7_000200,0x6bb0bfffc58f092ec4d7b6c2a32290fa3468ddd38872c319d89f93fd59ff395f,aligned_exact_confirm,ALLOW,HUMAN_REVIEW,low,medium,[],"[""V_REVERTED_OR_UNCERTAIN_CONTEXT_REVIEW""]",receipt_status=0 and allow_unknown_or_reverted_template_without_review=false
psbevm_v4_8_001201,rw_level2_v4_7_000201,0x7f82d6c81c0b01a0f552be1dac5a586cd5c70e7f95afb16d2ba5fa8695065688,aligned_low_exposure,ALLOW,HUMAN_REVIEW,low,medium,[],"[""V_REVERTED_OR_UNCERTAIN_CONTEXT_REVIEW""]",receipt_status=0 and allow_unknown_or_reverted_template_without_review=false
psbevm_v4_8_001202,rw_level2_v4_7_000201,0x7f82d6c81c0b01a0f552be1dac5a586cd5c70e7f95afb16d2ba5fa8695065688,aligned_exact_confirm,ALLOW,HUMAN_REVIEW,low,medium,[],"[""V_REVERTED_OR_UNCERTAIN_CONTEXT_REVIEW""]",receipt_status=0 and allow_unknown_or_reverted_template_without_review=false
psbevm_v4_8_001207,rw_level2_v4_7_000202,0x49e17b1d0d38d983f7e6f4a6ec36d08203a1ccb5190fc085e78930351d4c9a85,aligned_low_exposure,ALLOW,HUMAN_REVIEW,low,medium,[],"[""V_REVERTED_OR_UNCERTAIN_CONTEXT_REVIEW""]",receipt_status=0 and allow_unknown_or_reverted_template_without_review=false
psbevm_v4_8_001208,rw_level2_v4_7_000202,0x49e17b1d0d38d983f7e6f4a6ec36d08203a1ccb5190fc085e78930351d4c9a85,aligned_exact_confirm,ALLOW,HUMAN_REVIEW,low,medium,[],"[""V_REVERTED_OR_UNCERTAIN_CONTEXT_REVIEW""]",receipt_status=0 and allow_unknown_or_reverted_template_without_review=false
psbevm_v4_8_001213,rw_level2_v4_7_000203,0xf07d15027345eeacf372f79dafa2b6f000144ae694364d0e7c4d430524c8ba26,aligned_low_exposure,ALLOW,HUMAN_REVIEW,low,medium,[],"[""V_REVERTED_OR_UNCERTAIN_CONTEXT_REVIEW""]",receipt_status=0 and allow_unknown_or_reverted_template_without_review=false
psbevm_v4_8_001214,rw_level2_v4_7_000203,0xf07d15027345eeacf372f79dafa2b6f000144ae694364d0e7c4d430524c8ba26,aligned_exact_confirm,ALLOW,HUMAN_REVIEW,low,medium,[],"[""V_REVERTED_OR_UNCERTAIN_CONTEXT_REVIEW""]",receipt_status=0 and allow_unknown_or_reverted_template_without_review=false
